identify	message	emotion	category
2018-Es-03208	@JosuGearFoo23 Oye carnal ya no me gusto la pinche vieja se volvio muy pinche sangrona	alegria	0
2018-Es-02892	Yo tengo un gozo, tengo alegría, tengo a Jesús, tengo el amor tengo la vida. #LaAdoraciónADiosEngrandeceLaNación	alegria	3
2018-Es-05320	que suerte que empece el tratamiento, increible el cambio desde mayo hasta ahora 😆	alegria	2
2018-Es-05384	Brillante @germanven gran monologo!!!!!	alegria	1
2018-Es-03740	Esta noche entre ligueos, lecturas de Tarot y ensaladas. Vaya que estoy entretenido.	alegria	1
2018-Es-05823	Me hubiera encantado conocerte de otra forma, pero me estoy enamorando de tu interior, que eso es lo que realmente me importa	alegria	1
2018-Es-06797	Que nunca se pierda mi bonita costumbre de enamorarme de alguien e inmediatamente verme con familia y futuro chingon. 😂 😂 😂	alegria	3
2018-Es-03724	@Camila_Cabello @BrunoMars LPM ESTOY TAN EMOCIONADA COMO TÚ	alegria	3
2018-Es-02736	Ha sido divertido me equivocaria otra veeeeeezzzz	alegria	3
2018-Es-02777	Hacia tanto tiempo que no sonreía tanto a mi celular mientras hablaba con  alguien 😊	alegria	3
2018-Es-00838	Es muy demasiado chistoso lo que lei cuando abrí Twitter jajajajaja	alegria	2
2018-Es-00712	@RociioArcee Que te estaras comiendo no sé 	alegria	0
2018-Es-00468	@Zita_Zaa Fue suave y corto. No alcanzó ni a prometer 	alegria	0
2018-Es-02614	1 semana que no fui al colegio 	alegria	0
2018-Es-01333	Que lindo que es viajar en moto vieja  	alegria	1
2018-Es-04843	@bbcmundo ¡En Bolivia seguiremos los pasos de Alemania! #Feliz	alegria	3
2018-Es-03677	Ahora si buenas noches alegría 🤗	alegria	2
2018-Es-01966	♥Feliz día del amigo♥ Gracias por todo, aunque miles de cosas hayan pasado o no nos hablemos más como antes, siguen siendo muy especial+	alegria	3
2018-Es-05637	Hasta mañana 	alegria	0
2018-Es-03520	Ando buscando mis ganas de estudiar 	alegria	0
2018-Es-06127	@Vane_Twitts No se te vaya a olvidar, yo que tú lo fijaba 	alegria	0
2018-Es-05603	Tengo mucha suerte ❤	alegria	3
2018-Es-02816	La felicidad de tu vida depende de la calidad de tus pensamientos.	alegria	1
2018-Es-04022	Soy tan orgullosa que no le voy a decir Felíz día.	alegria	1
2018-Es-05136	@josephsvocals en mi escuela lo hicieron y las profesoras hicieron un drama y los encerraron todo el recreo para hablarles de dios	alegria	0
2018-Es-01432	Estás bieeen puñetas mija jajaja. 	alegria	NONE
2018-Es-03900	Me acabo de dar cuenta que soy la persona más cizañosa del mundo 😂 pero es divertido 😈🙊😂	alegria	NONE
2018-Es-01245	@_lisanvallejos q graciosa la primera foto, te amo o o o	alegria	NONE
2018-Es-05943	Se que tienes un nuevo amor, sin embargo te deseo lo mejor. Si en mi no encontraste felicidad, tal vez alguien más te la dará🎶🍷	alegria	NONE
2018-Es-02995	@KevinZeron1 De ti también 🌚 JajAjajajajaja bueno no 	alegria	NONE
2018-Es-06725	Se me cayó el celular abajo de la cama y empecé a putear: la re calcada concha puta verga. Por suerte muy normal mis puteadas. 😂	alegria	NONE
2018-Es-05409	Maldito smirnoff , Aurora será 	alegria	NONE
2018-Es-03742	@CariFutbolera Y no para nada esta bien mi princesa 	alegria	NONE
2018-Es-06239	@Fernanfloo puedes jugar minecraft online seria divertido porfavor saludos 👌	alegria	NONE
2018-Es-05996	Paso a paso y paso firme 😊	alegria	NONE
2018-Es-02577	Qué dicha y tiene su novio al tenerla a su lado...	alegria	NONE
2018-Es-03499	Vivo #Feliz, #Vivo #danzando, vivo mi #música, vivo #Bailando	alegria	NONE
2018-Es-01107	Que felicidad !!	alegria	NONE
2018-Es-02075	siempre que cocino algo le mando fotos re emocionada seguro está re podrido	alegria	NONE
2018-Es-04921	@MyLifeAsLau27 Lo se lo se 	alegria	NONE
2018-Es-05707	Te voy a cambiar el nombre, en base a lo que haz traido, ahora te llamaras puras tragedias 	alegria	NONE
2018-Es-02566	el mv es muy divertido me dieron ganas de estar ahí	alegria	NONE
2018-Es-02460	Es tan divertido encontrar a alguien con quien joder por todo.	alegria	NONE
2018-Es-02299	@Guarromantico_ Mira amigo @EPN deberiamos hacer una infreschurchur más chingona. Hay que tirar lo que no sirve 😊	alegria	NONE
2018-Es-02102	Que sarra cumplir años en día festivo y recibir -1 regalo.	alegria	NONE
2018-Es-00249	@rtorresabc123 @TeresaBalladare JAJAJAJAJAJAJA recién veo esto que risa hp	alegria	NONE
2018-Es-05758	@ale_posho @RichaVega Jajaja 	alegria	NONE
2018-Es-02935	@Sabri_CasanovaQ  demasiadoo Jajaja entonces no se, vea Titanic de nuevo 	alegria	NONE
2018-Es-00872	Alguien que tenga un disfraz de Alicia del país de las maravillas??  Por favor!: me siento optimista	alegria	NONE
2018-Es-05946	Eso de enojarse por cualquier estupidez ya me canso, o sea cual es el punto? Solo empeora mi humor 	alegria	NONE
2018-Es-06903	@CamilaValleee Dale de una.  En la semana te mando 	alegria	NONE
2018-Es-03814	Upsssss me saque sorry 	alegria	NONE
2018-Es-03897	#DeColombiaMeGusta La gente, las empanadas, las mujeres, los paisajes, la alegría es que alo bien Colombia es muy chimba 😍🇨🇴🇨🇴💛💙❤️	alegria	NONE
2018-Es-00886	Si aprendes a perdonar y a olvidar, vas a encontrar la verdadera felicidad. #Fav #RT #FF #UnaVidaPk #felicidad	alegria	NONE
2018-Es-05646	@manueElLebroOn Creo q ya lo arregle 😄	alegria	NONE
2018-Es-02133	¡¡Feliz día del amigo, bebés!! @lastkxng @ersophun @RogersK133 @g0ddxmn @AlxckK @naemoseup y a esas personitas que quedaron en facebook.	alegria	NONE
2018-Es-05282	Debería haber una versión de Rockband con cumbia peruana. "Cumbiaband" o algo así 	alegria	NONE
2018-Es-02100	Hoy paso algo muy chistoso cuando sono el timbre. Como sabia que era mi papá salio corriendo desde el cuarto de mi mamá (+)	alegria	NONE
2018-Es-01991	@Nextollgofjus Que sos puta?  Si yo también lo lei 	alegria	NONE
2018-Es-06100	Como quisiera que estemos abrazaditos viendo pelis 😊	alegria	NONE
2018-Es-04288	@OzielCVargas9 Gracias!!! 	alegria	NONE
2018-Es-01566	Para amarte no necesito que me des la luna, solo quiero tener la fortuna, de regalarte mi amor 🎶	alegria	NONE
2018-Es-02908	@yariela_flores Si necesito quitármelo ya 	alegria	NONE
2018-Es-03910	@ValdattiOficial Por los huesos de que necaxista va? 	alegria	NONE
2018-Es-03005	@pegada123 Admirable. Suerte.	alegria	NONE
2018-Es-00552	Con razon la otra ves cuando no nos vimos y paso mas o menos esto yo estaba asi, es porque no la veo y me pongo sensible y me molesta todo 	alegria	NONE
2018-Es-02556	@carls____ Jajajaj que agradable sujeto	alegria	NONE
2018-Es-04475	A celebrar con gusto	alegria	NONE
2018-Es-06793	@el_geniecito Por cada mujer un aroma, derrochando sensualidad que deslumbra. 	alegria	NONE
2018-Es-00799	Intento hacer sonreír a la gente	alegria	NONE
2018-Es-00703	@_DxrkJoke Me parece genial, —Comienzo a caminar hacia la cabaña 22 sin soltar a Soo— Pero hay que entrar sin hacer mucho ruido porque »	alegria	NONE
2018-Es-06772	@Lazarini17 así te paso cuando ne viste?  	alegria	NONE
2018-Es-05272	@PushMeJoel Si lo se jajaja ya me abrió varios pero ni para contestar 	alegria	NONE
2018-Es-04002	yo quiero q me toque una cumbita, yo quiero q la baile Maribel, quiero ver su graciosa figuritaa, moviendo los pies, los pies, los piesss	alegria	NONE
2018-Es-03320	Lamento decirte que tu cara no te ayuda en nada 	alegria	NONE
2018-Es-04310	@ScarlettAguirre Es como preparar la fiesta de un hijo o así 	alegria	NONE
2018-Es-04326	@Kotitas_Party @belindapop Eso pienso siempre, y aparece con un twit nuevo!!!! 😅	alegria	NONE
2018-Es-04965	@AmarantaHank Solo buscan tu atencion... yo te invitaria a un cafe 	alegria	NONE
2018-Es-06160	Que lindo cuando sobra el pan y la droga jaja el money hasta ahi y las mujeres... 	alegria	NONE
2018-Es-04064	@DebRyanShow #Rayito Jajajajajaja alegría quizá	alegria	NONE
2018-Es-06362	Hoy había un señor re gracioso en el bondi y todos lo miraban con cara de culo	alegria	NONE
2018-Es-00633	@CattaCarp igual.....es lindo meter la pata y q se enojen ..... Jajajajajaja es una satisfacción	alegria	NONE
2018-Es-02979	Es agradable, se siente la comodidad entre nosotros a pesar de no vernos todo el tiempo, hablar sin preocupaciones, me da tranquilidad.	alegria	NONE
2018-Es-01537	@AlbaRosaBV Muchas felicidades Rosy!! 😊	alegria	NONE
2018-Es-02078	Porque todo lo que hago,  lo hago por y para mí! #satisfacción	alegria	NONE
2018-Es-06035	No soy nada orgullosa y amo ser así	alegria	NONE
2018-Es-03945	@SoyPhoebeGrey Tsss, buenas noches.  Recuerda sonreír todos los días. 🌚💕	alegria	NONE
2018-Es-04969	@LuliZarate6 JAJAJA 😎😎😎 por eso somos amigas, somos especiales. 😊	alegria	NONE
2018-Es-04956	ir al supermercado a esta hora está genial.	alegria	NONE
2018-Es-02756	Send nudes, perdón nubes* (? 	alegria	NONE
2018-Es-03639	Me daban risa los comerciales d julio regalado dond las señoras se avientan y enloquecen cn las promos pro la realidad supera a la ficción	alegria	NONE
2018-Es-05206	La concha de su madre con lo de la araña 	alegria	NONE
2018-Es-01489	@beluibanez9 @elcosodelapizza Hola la re calcada concha de tu hermana volves a hacer algun chiste y te borro la sonrisa de una patada 😇👌🏻	alegria	NONE
2018-Es-00059	Camila está tan emocionada, quiero abrazarla hasta que mis brazos ya no aguanten	alegria	NONE
2018-Es-00057	Un mensaje basta para sonreír 😊	alegria	NONE
